t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
527760	bot-966	alpha	P00r-4410	tick	77.08	-18.73	69	2.28	1.91	14.68	2	squad	squad-65	2	bot-918			-	0	30	120	0	7	35
527760	bot-968	alpha	S32r-4410	tick	141.17	-3.75	187	2.46	3.20	37.82	6	seek	squad-1	1	bot-744			-	0	25	120	0	7	35
527793	bot-800	alpha	P00m-33A0	tick	111.67	38.38	172	2.56	2.56	1.27	1	packseek	squad-92	4	bot-814			-	0	11	84	0	7	35
527793	bot-814	alpha	P00r-4320	tick	121.81	44.55	79	2.23	2.28	23.45	4	patrolReentry	squad-92	0	bot-814			-	0	26	25	0	7	35
527860	bot-935	alpha	P00r-4310	tick	-100.13	16.53	294	1.57	1.77	46.97	6	squad	squad-102	3	bot-930			-	0	1	27	0	20	101
527937	bot-967	bravo	P00r-2420	tick	-11.44	-16.24	80	2.40	2.36	10.63	2	squad	squad-87	2	bot-781			-	0	11	120	0	20	101
527937	bot-973	bravo	P00r-4420	tick	-9.82	-14.18	65	2.38	2.07	6.24	3	squad	squad-87	3	bot-781			-	0	1	4	0	30	120
527937	bot-975	bravo	P00r-4420	tick	-11.60	-17.78	98	2.40	1.27	9.12	3	squad	squad-87	4	bot-781			-	0	30	120	0	20	101
527977	bot-970	bravo	P00r-4410	tick	-15.77	-16.50	99	2.40	2.13	12.82	4	squad	squad-87	6	bot-781			-	0	1	30	0	7	35
528001	bot-963	bravo	P00m-23C0	tick	-14.82	-12.50	101	2.62	2.49	9.12	2	squad	squad-87	5	bot-781			-	0	8	101	0	7	35
528001	bot-965	bravo	P00r-4410	tick	-4.95	-15.08	125	2.18	2.23	4.28	1	squad	squad-87	1	bot-781			-	0	30	120	0	20	101
528029	bot-800	alpha	M00m-33B0	state+packs	111.93	37.86	165	2.57	0.58	0.69	1	packseek	squad-92	4	bot-814			-	0	11	84	0	7	35
528047	bot-981	bravo	P00r-4410	tick	-37.40	-40.23	82	2.52	2.35		25	patrol	squad-98	0				-	0	30	120	0	20	101
