t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
112118	bot-32	alpha	S00r-2410	tier+score	-0.99	-29.67	359	2.48	0.57	31.42	11	seek	squad-7	1	bot-26	bot-16	28.06	w
112118	bot-35	alpha	S00r-4410	tier+score	-4.71	-28.09	2	2.36	0.55	32.39	9	seek	squad-7	2	bot-26	bot-16	26.21	w
112118	bot-41	alpha	S00m-4420	tier+score	-14.60	-21.76	343	2.61	0.61	46.59	11	seek	squad-7	5	bot-26	bot-18	51.81	r
112151	bot-20	bravo	P00r-2310	tick	23.13	13.62	345	2.40	0.24	1.28	1	squad	squad-2	1	bot-18			-
112168	bot-16	bravo	H35m-4120	latches	-2.94	-2.72	105	0.00	0.00		0		squad-2	2	bot-18	bot-21	12.71	w
112168	bot-21	alpha	S00r-4320	state+latches	9.04	0.67	254	0.00	0.00		0		squad-1	1	bot-19	bot-16	12.71	w
112185	bot-19	alpha	G00r-3322	tick	16.32	0.93	268	0.00	0.92		0		squad-1	0	bot-19	bot-16	19.84	w
112185	bot-21	alpha	A00r-4320	state	9.02	0.67	258	1.32	0.02	10.31	4	seek	squad-1	1	bot-19	bot-16	12.71	w
112252	bot-18	bravo	P00r-4410	tick	24.01	12.25	14	2.41	1.45		2	patrolLocal	squad-2	0	bot-18			-
112252	bot-21	alpha	F00r-4320	state	9.02	0.67	254	0.00	0.00		0		squad-1	1	bot-19	bot-16	12.69	y
112269	bot-16	bravo	H36m-4020	score+health	-2.94	-2.72	112	0.00	0.00		0		squad-2	2	bot-18	bot-21	12.69	y
112269	bot-21	alpha	A00r-4320	state	9.02	0.67	254	0.00	0.00		0		squad-1	1	bot-19	bot-16	12.69	y
112402	bot-21	alpha	F00r-4320	state	9.02	0.67	254	0.00	0.00		0		squad-1	1	bot-19	bot-16	12.69	y
112402	bot-21	alpha	P00r-3320	state+ammo	9.02	0.67	254	0.00	0.00		0		squad-1	1	bot-19		12.69	y
112402	bot-16	bravo	D00m--000	state+tier+score+ammo+packs	-2.94	-2.72	122	0.00	0.00		0		squad-2	2	bot-18	bot-21	12.69	y
112402	bot-26	alpha	S00r-4314	state+latches	-8.34	-30.43	12	0.00	0.00		0		squad-7	0	bot-26	bot-18	53.42	r
112419	bot-17	alpha	D00r--000	tick	12.98	2.20	257	0.00	0.00	3.81	0		squad-1	-1	bot-19	bot-14	21.83	y
112419	bot-21	alpha	S00r-4320	state+ammo	9.02	0.67	254	0.00	0.00		0		squad-1	1	bot-19		12.69	y
112536	bot-2	bravo	D00r--000	tick	0.54	4.99	216	0.00	0.00		0		squad-2	-1	bot-18	bot-3	30.50	w
112754	bot-26	alpha	S00r-4414	health	-8.34	-30.43	343	0.00	0.00		0		squad-7	0	bot-26	bot-18	52.89	r
112804	bot-37	alpha	S00r-3320	tick	-13.95	-10.06	3	2.40	2.40	38.65	9	seek	squad-7	3	bot-26	bot-18	43.24	w
112937	bot-40	bravo	P00r-4410	tick	33.56	-30.94	168	1.91	2.22		1	patrol	squad-9	0	bot-40			-
112937	bot-42	bravo	P00r-4410	tick	33.27	-27.20	149	2.31	1.15	1.33	1	squad	squad-9	1	bot-40			-
113121	bot-30	alpha	T00m-3410	tick	-8.11	-29.67	68	0.00	0.00		0		squad-7	4	bot-26			-
113121	bot-32	alpha	S00r-2410	tick	-1.63	-29.38	35	0.00	0.70		0		squad-7	1	bot-26			-
113121	bot-35	alpha	S00r-4410	tick	-7.03	-27.28	10	2.50	2.46	45.96	13	seek	squad-7	2	bot-26			-
113121	bot-41	alpha	S00m-4420	tick	-14.51	-19.24	45	2.42	2.52	44.73	10	seek	squad-7	5	bot-26	bot-18	48.76	w
113155	bot-20	bravo	P00r-2310	tick	23.85	12.78	154	0.00	1.11		0		squad-2	1	bot-18			-
113188	bot-19	alpha	G00r-3322	tick	16.75	1.75	218	0.00	0.92		0		squad-1	0	bot-19			-
113255	bot-18	bravo	P00r-4410	tick	21.72	12.64	278	2.39	2.32		1	patrolLocal	squad-2	0	bot-18			-
113422	bot-21	alpha	S00r-4320	tick	6.82	0.72	226	2.40	2.20	5.69	4	seek	squad-1	1	bot-19			-
113439	bot-30	alpha	S00m-3410	state	-8.11	-29.67	85	0.00	0.00		0		squad-7	4	bot-26			-
113539	bot-2	bravo	D00r--000	tick	0.54	4.99	216	0.00	0.00		0		squad-2	-1	bot-18	bot-3	30.50	w
113573	bot-18	bravo	A00r-4410	state	21.00	12.68	287	2.42	0.73		1	patrolLocal	squad-2	0	bot-18			-
113590	bot-18	bravo	A00r-441G	latches	21.00	12.68	284	0.06	0.00		0		squad-2	0	bot-18	bot-21	19.29	y
113757	bot-26	alpha	S00r-4414	tick	-8.34	-30.43	53	0.00	0.00		0		squad-7	0	bot-26	bot-18	52.16	r
